#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                        list_num|  1.17e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  18|   1000000|     100|0.62223508|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.47534612|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.43828479|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.99957506|   WEAK   
      rgb_lagged_sum|  22|   1000000|     100|0.52747275|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.89178547|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.97914370|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.86003129|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.30854697|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.31856673|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.94969432|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.66753010|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.18311290|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.30699678|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.94151934|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.66478661|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.61783759|  PASSED  
             dab_dct| 256|     50000|       1|0.49181118|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.67538312|  PASSED  
        dab_filltree|  32|  15000000|       1|0.51325969|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.15033650|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.81586192|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.60917254|  PASSED  
